id,first_name,last_name,email,car_make,car_model,vin,manufactured_date,age_of_vehicle
48,John,Doe,john@example.com,Toyota,Corolla,1HGCM82633A123456,2015-06-01,10
50,Bob,Brown,bob@example.com,Honda,Civic,2HGES16555H123456,2012-11-15,13
51,John,Doe,john@example.com,Toyota,Corolla,1HGCM82633A123456,2015-06-01,10
53,Bob,Brown,bob@example.com,Honda,Civic,2HGES16555H123456,2012-11-15,13
54,John,Doe,john@example.com,Toyota,Corolla,1HGCM82633A123456,2015-06-01,10
56,Bob,Brown,bob@example.com,Honda,Civic,2HGES16555H123456,2012-11-15,13
57,John,Doe,john@example.com,Toyota,Corolla,1HGCM82633A123456,2015-06-01,10
59,Bob,Brown,bob@example.com,Honda,Civic,2HGES16555H123456,2012-11-15,13
60,John,Doe,john@example.com,Toyota,Corolla,1HGCM82633A123456,2015-06-01,10
62,Bob,Brown,bob@example.com,Honda,Civic,2HGES16555H123456,2012-11-15,13
